Site Name,COND Start,COND End,COND Num,ECLOI Start,ECLOI End,ECLOI Num,ENT Start,ENT End,ENT Num,FC Start,FC End,FC Num,SAL Start,SAL End,SAL Num,SED_GS_u22_9 Start,SED_GS_u22_9 End,SED_GS_u22_9 Num,SED_GS_u69_1 Start,SED_GS_u69_1 End,SED_GS_u69_1 Num,SED_ISO_C Start,SED_ISO_C End,SED_ISO_C Num,SED_ISO_N Start,SED_ISO_N End,SED_ISO_N Num,SED_MET_Fe Start,SED_MET_Fe End,SED_MET_Fe Num,SED_MET_P Start,SED_MET_P End,SED_MET_P Num,TEMP Start,TEMP End,TEMP Num,WQ_CAR_PH Start,WQ_CAR_PH End,WQ_CAR_PH Num,WQ_DIAG_ISO_del13CDOC_ppt Start,WQ_DIAG_ISO_del13CDOC_ppt End,WQ_DIAG_ISO_del13CDOC_ppt Num,WQ_DIAG_ISO_del15NNOx Start,WQ_DIAG_ISO_del15NNOx End,WQ_DIAG_ISO_del15NNOx Num,WQ_DIAG_ISO_del15NNOx_ppt Start,WQ_DIAG_ISO_del15NNOx_ppt End,WQ_DIAG_ISO_del15NNOx_ppt Num,WQ_DIAG_ISO_del18ONOx Start,WQ_DIAG_ISO_del18ONOx End,WQ_DIAG_ISO_del18ONOx Num,WQ_DIAG_OXY_SAT Start,WQ_DIAG_OXY_SAT End,WQ_DIAG_OXY_SAT Num,WQ_DIAG_PHY_TCHLA Start,WQ_DIAG_PHY_TCHLA End,WQ_DIAG_PHY_TCHLA Num,WQ_DIAG_PHY_TCHLA_EXO Start,WQ_DIAG_PHY_TCHLA_EXO End,WQ_DIAG_PHY_TCHLA_EXO Num,WQ_DIAG_TOT_TDN Start,WQ_DIAG_TOT_TDN End,WQ_DIAG_TOT_TDN Num,WQ_DIAG_TOT_TDP Start,WQ_DIAG_TOT_TDP End,WQ_DIAG_TOT_TDP Num,WQ_DIAG_TOT_TKN Start,WQ_DIAG_TOT_TKN End,WQ_DIAG_TOT_TKN Num,WQ_DIAG_TOT_TN Start,WQ_DIAG_TOT_TN End,WQ_DIAG_TOT_TN Num,WQ_DIAG_TOT_TOC Start,WQ_DIAG_TOT_TOC End,WQ_DIAG_TOT_TOC Num,WQ_DIAG_TOT_TON Start,WQ_DIAG_TOT_TON End,WQ_DIAG_TOT_TON Num,WQ_DIAG_TOT_TP Start,WQ_DIAG_TOT_TP End,WQ_DIAG_TOT_TP Num,WQ_DIAG_TOT_TSS Start,WQ_DIAG_TOT_TSS End,WQ_DIAG_TOT_TSS Num,WQ_DIAG_TOT_TSS_MINERAL Start,WQ_DIAG_TOT_TSS_MINERAL End,WQ_DIAG_TOT_TSS_MINERAL Num,WQ_DIAG_TOT_TSS_ORGANIC Start,WQ_DIAG_TOT_TSS_ORGANIC End,WQ_DIAG_TOT_TSS_ORGANIC Num,WQ_DIAG_TOT_TURBIDITY Start,WQ_DIAG_TOT_TURBIDITY End,WQ_DIAG_TOT_TURBIDITY Num,WQ_DIAG_TOT_TURBIDITY_EXO Start,WQ_DIAG_TOT_TURBIDITY_EXO End,WQ_DIAG_TOT_TURBIDITY_EXO Num,WQ_NCS_SS1 Start,WQ_NCS_SS1 End,WQ_NCS_SS1 Num,WQ_NIT_AMM Start,WQ_NIT_AMM End,WQ_NIT_AMM Num,WQ_NIT_NIT Start,WQ_NIT_NIT End,WQ_NIT_NIT Num,WQ_OGM_DOC Start,WQ_OGM_DOC End,WQ_OGM_DOC Num,WQ_OGM_DON Start,WQ_OGM_DON End,WQ_OGM_DON Num,WQ_OGM_DOP Start,WQ_OGM_DOP End,WQ_OGM_DOP Num,WQ_OGM_PON Start,WQ_OGM_PON End,WQ_OGM_PON Num,WQ_OGM_fDOM Start,WQ_OGM_fDOM End,WQ_OGM_fDOM Num,WQ_OXY_OXY Start,WQ_OXY_OXY End,WQ_OXY_OXY Num,WQ_OXY_SAT Start,WQ_OXY_SAT End,WQ_OXY_SAT Num,WQ_PHS_FRP Start,WQ_PHS_FRP End,WQ_PHS_FRP Num,WQ_PHY_BGA_PE Start,WQ_PHY_BGA_PE End,WQ_PHY_BGA_PE Num,WQ_SIL_RSI Start,WQ_SIL_RSI End,WQ_SIL_RSI Num,spCOND Start,spCOND End,spCOND Num,
N26,01/02/1983,17/03/2017,765,05/01/2005,21/12/2018,86,12/03/1980,21/12/2018,394,02/09/1996,21/12/2018,271,05/01/2005,21/12/2018,365,,,,,,,,,,,,,,,,,,,12/03/1980,21/12/2018,678,12/03/1980,17/03/2017,805,,,,,,,,,,,,,,,,05/01/2005,21/12/2018,454,,,,,,,,,,11/05/1982,24/06/1993,223,04/07/1988,21/12/2018,748,26/08/1982,21/12/2018,97,,,,12/03/1980,21/12/2018,941,12/03/1980,21/12/2018,245,,,,,,,18/03/1982,17/03/2017,518,,,,12/03/1980,21/12/2018,245,12/03/1980,21/12/2018,844,12/03/1980,21/12/2018,852,05/01/2005,21/12/2018,8,,,,,,,,,,,,,12/03/1980,21/12/2018,665,18/03/1982,17/03/2017,699,12/03/1980,21/12/2018,809,,,,12/03/1980,17/03/2017,972,,,,
N3001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/07/2009,21/12/2018,162,,,,,,,,,,,,,,,,,,,13/07/2009,21/12/2018,326,,,,,,,,,,,,,13/07/2009,21/12/2018,326,,,,,,,13/07/2009,21/12/2018,326,,,,,,,,,,,,,,,,,,,13/07/2009,21/12/2018,326,13/07/2009,21/12/2018,326,,,,,,,,,,,,,,,,13/07/2009,21/12/2018,163,,,,13/07/2009,21/12/2018,326,,,,,,,,,,
N35,09/11/1981,17/02/2017,633,05/01/2005,21/12/2018,91,12/03/1980,21/12/2018,322,14/08/1996,21/12/2018,327,,,,,,,,,,,,,,,,,,,,,,12/03/1980,21/12/2018,810,12/03/1980,17/02/2017,650,,,,,,,,,,,,,,,,04/07/2001,21/12/2018,460,,,,,,,,,,12/03/1980,24/05/1994,101,12/03/1980,21/12/2018,1107,12/03/1980,21/12/2018,22,,,,12/03/1980,21/12/2018,1105,12/03/1980,21/12/2018,495,,,,,,,27/09/1982,17/02/2017,381,,,,12/03/1980,21/12/2018,495,12/03/1980,21/12/2018,967,12/03/1980,21/12/2018,1036,05/01/2005,21/12/2018,8,,,,,,,,,,,,,12/03/1980,21/12/2018,773,09/11/1981,17/02/2017,529,12/03/1980,21/12/2018,982,,,,12/03/1980,21/12/2018,976,,,,
N38,01/02/1983,23/06/2008,618,05/01/2005,28/11/2016,86,25/01/1980,28/11/2016,261,02/09/1996,28/11/2016,258,,,,,,,,,,,,,,,,,,,,,,25/01/1980,28/11/2016,559,25/01/1980,23/06/2008,654,,,,,,,,,,,,,,,,05/01/2005,28/11/2016,84,,,,,,,,,,,,,11/07/1988,28/11/2016,363,,,,,,,25/01/1980,28/11/2016,523,12/03/1980,20/02/1998,79,,,,,,,10/12/1981,23/06/2008,355,,,,12/03/1980,20/02/1998,79,12/03/1980,28/11/2016,454,12/03/1980,28/11/2016,458,,,,,,,,,,,,,,,,25/01/1980,28/11/2016,477,06/02/1981,23/06/2008,586,25/01/1980,28/11/2016,414,,,,25/01/1980,23/06/2008,623,,,,
N39,19/06/1984,12/03/2017,295,21/01/2005,24/12/2018,87,02/07/1996,24/12/2018,208,07/05/1996,24/12/2018,285,,,,,,,,,,,,,,,,,,,,,,19/06/1984,24/12/2018,333,19/06/1984,12/03/2017,298,,,,,,,,,,,,,,,,21/01/2005,24/12/2018,447,,,,,,,,,,,,,29/08/1995,24/12/2018,660,13/03/1997,24/12/2018,19,,,,19/06/1984,24/12/2018,665,02/07/1996,24/12/2018,130,,,,,,,19/06/1984,12/03/2017,279,,,,02/07/1996,24/12/2018,130,29/08/1995,24/12/2018,629,29/08/1995,24/12/2018,635,21/01/2005,24/12/2018,9,,,,,,,,,,,,,02/06/1999,24/12/2018,289,19/06/1984,12/03/2017,292,19/06/1984,24/12/2018,643,,,,19/06/1984,12/03/2017,596,,,,
N42,17/03/1983,28/12/2016,1449,06/01/2005,24/12/2018,254,29/12/1982,24/12/2018,785,24/09/1996,24/12/2018,842,,,,,,,,,,,,,,,,,,,,,,25/01/1980,24/12/2018,2464,25/01/1980,28/12/2016,1543,,,,,,,,,,,,,,,,04/06/2001,24/12/2018,1117,,,,,,,,,,,,,22/02/1988,24/12/2018,2624,22/11/1983,24/12/2018,70,,,,16/05/1980,24/12/2018,2832,05/04/1984,24/12/2018,560,,,,,,,25/01/1980,28/12/2016,1316,,,,05/04/1984,24/12/2018,560,11/11/1982,24/12/2018,1322,11/11/1982,24/12/2018,1423,06/01/2005,24/12/2018,19,,,,,,,,,,,,,06/05/1997,24/12/2018,1803,25/01/1980,28/12/2016,1268,16/05/1980,24/12/2018,1501,,,,25/01/1980,24/12/2018,2169,,,,
N44,,,,27/09/2006,24/12/2018,38,27/09/2006,24/12/2018,38,27/09/2006,24/12/2018,38,,,,,,,,,,,,,,,,,,,,,,27/09/2006,24/12/2018,202,,,,,,,,,,,,,,,,,,,27/09/2006,24/12/2018,382,,,,,,,,,,,,,27/09/2006,24/12/2018,382,27/09/2006,24/12/2018,9,,,,27/09/2006,24/12/2018,382,27/09/2006,24/12/2018,89,,,,,,,,,,,,,27/09/2006,24/12/2018,89,27/09/2006,24/12/2018,382,27/09/2006,24/12/2018,386,27/09/2006,24/12/2018,9,,,,,,,,,,,,,27/09/2006,24/12/2018,203,,,,27/09/2006,24/12/2018,381,,,,27/09/2006,24/12/2018,72,,,,
N48A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/10/2013,24/12/2018,25,,,,,,,,,,,,,,,,,,,15/10/2013,24/12/2018,50,,,,,,,,,,,,,15/10/2013,24/12/2018,50,,,,,,,15/10/2013,24/12/2018,50,,,,,,,,,,,,,,,,,,,15/10/2013,24/12/2018,50,15/10/2013,24/12/2018,50,,,,,,,,,,,,,,,,15/10/2013,24/12/2018,25,,,,15/10/2013,24/12/2018,50,,,,,,,,,,
N48,14/11/1983,14/03/2017,945,,,,17/03/1983,14/12/2017,880,06/11/1996,14/08/2013,602,,,,,,,,,,,,,,,,,,,,,,17/03/1983,14/12/2017,688,17/03/1983,14/03/2017,962,,,,,,,,,,,,,,,,21/01/2005,14/12/2017,403,,,,,,,,,,17/03/1983,11/10/1994,347,17/03/1983,14/12/2017,1195,07/03/1997,14/12/2017,20,,,,28/03/1983,14/12/2017,1185,05/03/1984,14/12/2017,515,,,,,,,17/03/1983,14/03/2017,681,,,,05/03/1984,14/12/2017,515,17/03/1983,14/12/2017,1146,17/03/1983,14/12/2017,1167,21/01/2005,14/12/2017,9,,,,,,,,,,,,,17/03/1983,14/12/2017,658,17/03/1983,14/03/2017,556,28/03/1983,14/12/2017,1085,,,,23/03/1983,14/03/2017,1409,,,,
N51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/07/2008,24/12/2018,189,,,,,,,,,,,,,,,,,,,09/07/2008,24/12/2018,367,,,,,,,,,,,,,09/07/2008,24/12/2018,367,09/07/2008,24/12/2018,9,,,,09/07/2008,24/12/2018,367,,,,,,,,,,,,,,,,,,,09/07/2008,24/12/2018,367,09/07/2008,24/12/2018,367,09/07/2008,24/12/2018,9,,,,,,,,,,,,,09/07/2008,24/12/2018,189,,,,09/07/2008,24/12/2018,367,,,,,,,,,,
N53,,,,21/01/2005,24/12/2018,250,21/01/2005,24/12/2018,265,21/01/2005,24/12/2018,265,,,,,,,,,,,,,,,,,,,,,,21/01/2005,24/12/2018,125,,,,,,,,,,,,,,,,,,,21/01/2005,24/12/2018,252,,,,,,,,,,,,,21/01/2005,24/12/2018,266,21/01/2005,24/12/2018,9,,,,21/01/2005,24/12/2018,266,21/01/2005,24/12/2018,15,,,,,,,,,,,,,21/01/2005,24/12/2018,15,21/01/2005,24/12/2018,266,21/01/2005,24/12/2018,266,21/01/2005,24/12/2018,9,,,,,,,,,,,,,21/01/2005,24/12/2018,140,,,,21/01/2005,24/12/2018,265,,,,,,,,,,
N57,16/03/1983,23/02/2017,1070,,,,25/01/1980,24/12/2018,1058,15/07/1996,24/12/2018,721,,,,,,,,,,,,,,,,,,,,,,25/01/1980,24/12/2018,1355,25/01/1980,23/02/2017,1165,,,,,,,,,,,,,,,,04/07/2001,24/12/2018,467,,,,,,,,,,17/06/1982,11/10/1994,496,17/06/1982,24/12/2018,1794,28/12/1983,24/12/2018,94,,,,25/01/1980,24/12/2018,1633,05/11/1981,24/12/2018,654,,,,,,,22/10/1981,23/02/2017,939,,,,05/11/1981,24/12/2018,654,17/06/1982,24/12/2018,1388,17/06/1982,24/12/2018,1521,21/01/2005,24/12/2018,496,,,,,,,,,,,,,08/07/1997,24/12/2018,540,02/03/1981,23/02/2017,808,25/01/1980,24/12/2018,1542,,,,25/01/1980,24/12/2018,1619,,,,
N642,,,,14/05/2008,28/12/2018,104,14/05/2008,28/12/2018,119,14/05/2008,28/12/2018,15,,,,,,,,,,,,,,,,,,,,,,14/05/2008,28/12/2018,67,,,,,,,,,,,,,,,,,,,14/05/2008,28/12/2018,119,,,,,,,,,,,,,14/05/2008,28/12/2018,119,14/05/2008,28/12/2018,4,,,,14/05/2008,28/12/2018,119,,,,,,,,,,,,,,,,,,,14/05/2008,28/12/2018,119,14/05/2008,28/12/2018,119,14/05/2008,28/12/2018,4,,,,,,,,,,,,,14/05/2008,28/12/2018,67,,,,14/05/2008,28/12/2018,119,,,,,,,,,,
N67,20/06/1983,14/03/2017,845,25/09/2006,28/12/2018,354,10/03/1980,28/12/2018,951,14/01/1997,28/12/2018,615,,,,,,,,,,,,,,,,,,,,,,10/03/1980,28/12/2018,883,10/03/1980,14/03/2017,859,,,,,,,,,,,,,,,,26/07/2001,28/12/2018,386,,,,,,,,,,01/09/1980,11/10/1994,542,01/09/1980,28/12/2018,1289,26/07/2001,28/12/2018,357,,,,10/03/1980,28/12/2018,1295,10/03/1980,28/12/2018,585,,,,,,,20/06/1983,14/03/2017,859,,,,10/03/1980,28/12/2018,585,10/03/1980,28/12/2018,1278,10/03/1980,28/12/2018,1278,25/09/2006,28/12/2018,354,,,,,,,,,,,,,10/03/1980,28/12/2018,866,20/06/1983,14/03/2017,698,10/03/1980,28/12/2018,1144,,,,10/03/1980,28/12/2018,1297,,,,
N75,09/05/1984,12/03/2017,880,21/01/2005,28/12/2018,120,20/06/1984,28/12/2018,694,07/05/1996,28/12/2018,449,,,,,,,,,,,,,,,,,,,,,,09/05/1984,28/12/2018,654,09/05/1984,12/03/2017,879,,,,,,,,,,,,,,,,26/07/2001,28/12/2018,453,,,,,,,,,,,,,25/07/1988,28/12/2018,1098,16/09/1985,28/12/2018,61,,,,22/05/1984,28/12/2018,1264,12/02/1990,28/12/2018,555,,,,,,,09/05/1984,12/03/2017,634,,,,12/02/1990,28/12/2018,555,05/09/1984,28/12/2018,1367,17/06/1985,28/12/2018,1303,21/01/2005,28/12/2018,470,,,,,,,,,,,,,09/05/1984,28/12/2018,624,09/05/1984,12/03/2017,500,20/06/1984,28/12/2018,1026,,,,14/06/1984,28/12/2018,1144,,,,
N7823,,,,,,,03/05/2018,16/11/2018,1,03/05/2018,16/11/2018,1,,,,,,,,,,,,,,,,,,,,,,03/05/2018,16/11/2018,1,,,,,,,,,,,,,,,,,,,03/05/2018,16/11/2018,1,,,,,,,,,,,,,03/05/2018,16/11/2018,1,,,,,,,03/05/2018,16/11/2018,1,,,,,,,,,,,,,,,,,,,03/05/2018,16/11/2018,1,03/05/2018,16/11/2018,1,,,,,,,,,,,,,,,,03/05/2018,16/11/2018,1,,,,03/05/2018,16/11/2018,1,,,,,,,,,,
N86,,,,,,,,,,20/12/2005,09/12/2014,58,,,,,,,,,,,,,,,,,,,,,,20/12/2005,09/12/2014,85,,,,,,,,,,,,,,,,,,,20/12/2005,09/12/2014,88,,,,,,,,,,,,,20/12/2005,09/12/2014,85,,,,,,,20/12/2005,09/12/2014,81,20/12/2005,09/12/2014,85,,,,,,,,,,,,,20/12/2005,09/12/2014,85,,,,,,,,,,,,,,,,,,,,,,20/12/2005,09/12/2014,85,,,,20/12/2005,09/12/2014,80,,,,20/12/2005,09/12/2014,82,,,,
N91,16/07/1985,12/03/2017,953,21/01/2005,21/12/2018,294,16/01/1996,21/12/2018,796,07/05/1996,21/12/2018,800,,,,,,,,,,,,,,,,,,,,,,16/07/1985,21/12/2018,741,16/07/1985,12/03/2017,966,,,,,,,,,,,,,,,,21/01/2005,21/12/2018,353,,,,,,,,,,16/07/1985,27/06/1994,232,16/07/1985,21/12/2018,1136,16/09/1985,15/06/1987,15,,,,16/07/1985,21/12/2018,1115,07/06/1988,21/12/2018,658,,,,,,,16/07/1985,12/03/2017,748,,,,07/06/1988,21/12/2018,658,12/08/1985,21/12/2018,1067,16/07/1985,21/12/2018,1081,,,,,,,,,,,,,,,,16/07/1985,21/12/2018,718,16/07/1985,12/03/2017,662,16/07/1985,21/12/2018,1146,,,,16/07/1985,12/03/2017,1167,,,,
N92,,,,,,,21/01/2005,21/12/2018,323,21/01/2005,21/12/2018,323,,,,,,,,,,,,,,,,,,,,,,21/01/2005,21/12/2018,312,,,,,,,,,,,,,,,,,,,21/01/2005,21/12/2018,480,,,,,,,,,,,,,21/01/2005,21/12/2018,509,,,,,,,21/01/2005,21/12/2018,509,21/01/2005,21/12/2018,236,,,,,,,,,,,,,21/01/2005,21/12/2018,236,21/01/2005,21/12/2018,509,21/01/2005,21/12/2018,509,21/01/2005,21/12/2018,9,,,,,,,,,,,,,21/01/2005,21/12/2018,312,,,,21/01/2005,21/12/2018,514,,,,21/01/2005,21/12/2018,74,,,,
